Mg	H	3.2094	5.2108
Al	C	4.0495	0
Sc	H	3.309	5.2733
Ti	H	2.9508	4.6855
V	C	3.03	0
Cr	C	2.91	0
Mn	C	8.9125	0
Fe	C	2.8665	0
Co	H	2.5071	4.0695
Ni	C	3.524	0
Cu	C	3.6149	0
Zn	H	2.6649	4.9468
Y	H	3.6474	5.7306
Zr	H	3.232	5.147
Nb	C	3.3004	0
Mo	C	3.147	0
Tc	H	2.735	4.388
Ru	H	2.7059	4.2815
Rh	C	3.8034	0
Pd	C	3.8907	0
Ag	C	4.0853	0
Cd	H	2.9794	5.6186
In	T	3.2523	4.9461
Sn	T	5.8318	3.1819
Sn	C	6.46	0
Sb	H	4.307	11.273
Te	H	4.4572	5.929
Lu	H	3.5031	5.5509
Hf	H	3.1964	5.0511
Ta	C	3.3013	0
W	C	3.1652	0
Re	H	2.761	4.456
Os	H	2.7344	4.3173
Ir	C	3.839	0
Pt	C	3.9242	0
Au	C	4.0782	0
Tl	H	3.4566	5.5248
Pb	C	4.9508	0
Dy	H	3.596	5.6537
Gd	H	3.636	5.7826
Ge	C	5.6575	0
Ho	H	3.5773	5.6158
