#y_P	y_As	y_Sb	x_Al	x_Ga	x_In	a
0.0	0.0	1.0	0.0	0.0	1.0	6.4794
0.0	0.0	1.0	0.0	0.1	0.9	6.44096
0.0	0.0	1.0	0.0	0.2	0.8	6.40252
0.0	0.0	1.0	0.0	0.3	0.7	6.36408
0.0	0.0	1.0	0.0	0.4	0.6	6.32564
0.0	0.0	1.0	0.0	0.5	0.5	6.2872
0.0	0.0	1.0	0.0	0.6	0.4	6.24876
0.0	0.0	1.0	0.0	0.7	0.3	6.21032
0.0	0.0	1.0	0.0	0.8	0.2	6.17188
0.0	0.0	1.0	0.0	0.9	0.1	6.13344
0.0	0.0	1.0	0.0	1.0	0.0	6.095
0.0	0.0	1.0	0.1	0.0	0.9	6.44501
0.0	0.0	1.0	0.1	0.1	0.8	6.40657
0.0	0.0	1.0	0.1	0.2	0.7	6.36813
0.0	0.0	1.0	0.1	0.3	0.6	6.32969
0.0	0.0	1.0	0.1	0.4	0.5	6.29125
0.0	0.0	1.0	0.1	0.5	0.4	6.25281
0.0	0.0	1.0	0.1	0.6	0.3	6.21437
0.0	0.0	1.0	0.1	0.7	0.2	6.17593
0.0	0.0	1.0	0.1	0.8	0.1	6.13749
0.0	0.0	1.0	0.1	0.9	0.0	6.09905
0.0	0.0	1.0	0.2	0.0	0.8	6.41062
0.0	0.0	1.0	0.2	0.1	0.7	6.37218
0.0	0.0	1.0	0.2	0.2	0.6	6.33374
0.0	0.0	1.0	0.2	0.3	0.5	6.2953
0.0	0.0	1.0	0.2	0.4	0.4	6.25686
0.0	0.0	1.0	0.2	0.5	0.3	6.21842
0.0	0.0	1.0	0.2	0.6	0.2	6.17998
0.0	0.0	1.0	0.2	0.7	0.1	6.14154
0.0	0.0	1.0	0.2	0.8	0.0	6.1031
0.0	0.0	1.0	0.3	0.0	0.7	6.37623
0.0	0.0	1.0	0.3	0.1	0.6	6.33779
0.0	0.0	1.0	0.3	0.2	0.5	6.29935
0.0	0.0	1.0	0.3	0.3	0.4	6.26091
0.0	0.0	1.0	0.3	0.4	0.3	6.22247
0.0	0.0	1.0	0.3	0.5	0.2	6.18403
0.0	0.0	1.0	0.3	0.6	0.1	6.14559
0.0	0.0	1.0	0.3	0.7	-1.11022302463e-16	6.10715
0.0	0.0	1.0	0.4	0.0	0.6	6.34184
0.0	0.0	1.0	0.4	0.1	0.5	6.3034
0.0	0.0	1.0	0.4	0.2	0.4	6.26496
0.0	0.0	1.0	0.4	0.3	0.3	6.22652
0.0	0.0	1.0	0.4	0.4	0.2	6.18808
0.0	0.0	1.0	0.4	0.5	0.1	6.14964
0.0	0.0	1.0	0.4	0.6	-1.11022302463e-16	6.1112
0.0	0.0	1.0	0.5	0.0	0.5	6.30745
0.0	0.0	1.0	0.5	0.1	0.4	6.26901
0.0	0.0	1.0	0.5	0.2	0.3	6.23057
0.0	0.0	1.0	0.5	0.3	0.2	6.19213
0.0	0.0	1.0	0.5	0.4	0.1	6.15369
0.0	0.0	1.0	0.5	0.5	0.0	6.11525
0.0	0.0	1.0	0.6	0.0	0.4	6.27306
0.0	0.0	1.0	0.6	0.1	0.3	6.23462
0.0	0.0	1.0	0.6	0.2	0.2	6.19618
0.0	0.0	1.0	0.6	0.3	0.1	6.15774
0.0	0.0	1.0	0.6	0.4	-1.11022302463e-16	6.1193
0.0	0.0	1.0	0.7	0.0	0.3	6.23867
0.0	0.0	1.0	0.7	0.1	0.2	6.20023
0.0	0.0	1.0	0.7	0.2	0.1	6.16179
0.0	0.0	1.0	0.7	0.3	-1.11022302463e-16	6.12335
0.0	0.0	1.0	0.8	0.0	0.2	6.20428
0.0	0.0	1.0	0.8	0.1	0.1	6.16584
0.0	0.0	1.0	0.8	0.2	-5.55111512313e-17	6.1274
0.0	0.0	1.0	0.9	0.0	0.1	6.16989
0.0	0.0	1.0	0.9	0.1	-2.77555756156e-17	6.13145
0.0	0.0	1.0	1.0	0.0	0.0	6.1355
0.0	0.1	0.9	0.0	0.0	1.0	6.4373
0.0	0.1	0.9	0.0	0.1	0.9	6.398653
0.0	0.1	0.9	0.0	0.2	0.8	6.360006
0.0	0.1	0.9	0.0	0.3	0.7	6.321359
0.0	0.1	0.9	0.0	0.4	0.6	6.282712
0.0	0.1	0.9	0.0	0.5	0.5	6.244065
0.0	0.1	0.9	0.0	0.6	0.4	6.205418
0.0	0.1	0.9	0.0	0.7	0.3	6.166771
0.0	0.1	0.9	0.0	0.8	0.2	6.128124
0.0	0.1	0.9	0.0	0.9	0.1	6.089477
0.0	0.1	0.9	0.0	1.0	0.0	6.05083
0.0	0.1	0.9	0.1	0.0	0.9	6.40237
0.0	0.1	0.9	0.1	0.1	0.8	6.363723
0.0	0.1	0.9	0.1	0.2	0.7	6.325076
0.0	0.1	0.9	0.1	0.3	0.6	6.286429
0.0	0.1	0.9	0.1	0.4	0.5	6.247782
0.0	0.1	0.9	0.1	0.5	0.4	6.209135
0.0	0.1	0.9	0.1	0.6	0.3	6.170488
0.0	0.1	0.9	0.1	0.7	0.2	6.131841
0.0	0.1	0.9	0.1	0.8	0.1	6.093194
0.0	0.1	0.9	0.1	0.9	0.0	6.054547
0.0	0.1	0.9	0.2	0.0	0.8	6.36744
0.0	0.1	0.9	0.2	0.1	0.7	6.328793
0.0	0.1	0.9	0.2	0.2	0.6	6.290146
0.0	0.1	0.9	0.2	0.3	0.5	6.251499
0.0	0.1	0.9	0.2	0.4	0.4	6.212852
0.0	0.1	0.9	0.2	0.5	0.3	6.174205
0.0	0.1	0.9	0.2	0.6	0.2	6.135558
0.0	0.1	0.9	0.2	0.7	0.1	6.096911
0.0	0.1	0.9	0.2	0.8	0.0	6.058264
0.0	0.1	0.9	0.3	0.0	0.7	6.33251
0.0	0.1	0.9	0.3	0.1	0.6	6.293863
0.0	0.1	0.9	0.3	0.2	0.5	6.255216
0.0	0.1	0.9	0.3	0.3	0.4	6.216569
0.0	0.1	0.9	0.3	0.4	0.3	6.177922
0.0	0.1	0.9	0.3	0.5	0.2	6.139275
0.0	0.1	0.9	0.3	0.6	0.1	6.100628
0.0	0.1	0.9	0.3	0.7	-1.11022302463e-16	6.061981
0.0	0.1	0.9	0.4	0.0	0.6	6.29758
