Composition	Symmetry	a	c
Al2O3	H	4.758	12.992
BaF2	C	6.196	0
CaF2	C	5.462	0
MgF2	T	4.64	3.06
LiF	C	4.026	0
BaTiO3	T	3.99	4.04
Bi4Ge3O12	C	10.518	0
Bi12GeO20	C	11.0146	0
GGG	C	12.376	0
KTN	C	3.989	0
KTaO3	C	3.989	0
LSAT	C	3.868	0
LiAlO2	T	5.17	6.26
LiNbO3	H	5.148	13.863
LiTaO3	H	5.154	13.783
MgAl2O4	C	8.083	0
MgO	C	4.216	0
NaCl	C	5.64	0
NdCaAlO4	T	3.685	12.12
SrTiO3	C	3.905	0
SrLaAlO4	T	3.756	12.63
PbWO4	T	5.416	12.049
PMNT	C	4.024	0
SrLaGaO4	T	3.843	12.68
Quartz	H	4.914	5.405
SiC	H	3.08	15.08
SBN	T	3.946	12.46
TiO2	T	4.5936	2.9582
YAG	C	12.01	0
YVO4	T	7.119	6.289
YSZ	C	5.125	0
ZnO	H	3.252	5.313
Si	C	5.43095	0
CaO	C	4.8127	0
LaAlO3	T	3.79	13.11
CoO	C	4.2615	0
FeO	C	4.307	0
MnO	C	4.445	0
NiO	C	4.1769	0
Cr2O3	H	4.96	13.6
Fe3O4	C	8.3967	0
L2-xSrxCO	T	3.763	13.2628
Muscovite	H	5.191	20
KaTaO3	C	3.989	0
